epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7964,6.34721,8.4037,0.06438,0.00672,0.43508,0.01238,0.00265,5.70677,6.66469,0.08578,0.000474107,0.000474107,0.000474107
2,146.093,5.21343,6.85888,0.05014,0.07412,0.21222,0.04711,0.01341,4.82015,6.08832,0.07003,0.000941031,0.000941031,0.000941031
3,217.194,4.66715,6.07149,0.0441,0.16693,0.1635,0.09157,0.02906,4.43239,5.55367,0.0607,0.00139852,0.00139852,0.00139852
4,291.38,4.3481,5.67558,0.0398,0.22631,0.25762,0.13458,0.0518,4.13174,5.13967,0.05567,0.00138656,0.00138656,0.00138656
5,361.494,4.1288,5.36212,0.03708,0.22215,0.28155,0.16227,0.06589,3.93164,4.90928,0.05305,0.00137241,0.00137241,0.00137241
6,4268.02,3.95751,5.12604,0.03591,0.24532,0.34257,0.19426,0.0841,3.71387,4.68866,0.04868,0.00135826,0.00135826,0.00135826
7,4339.66,3.8601,4.96678,0.03477,0.28921,0.37718,0.23751,0.1066,3.56922,4.47603,0.04596,0.00134412,0.00134412,0.00134412
8,4411.46,3.75362,4.7815,0.03338,0.3,0.37378,0.24378,0.11172,3.56982,4.35525,0.04649,0.00132997,0.00132997,0.00132997
9,4482.7,3.67368,4.60069,0.03173,0.32211,0.40354,0.28452,0.13725,3.38576,4.21152,0.04303,0.00131582,0.00131582,0.00131582
10,4555.97,3.59975,4.51683,0.03206,0.32612,0.391,0.27884,0.13398,3.49639,4.13086,0.04615,0.00130168,0.00130168,0.00130168
11,4620.49,3.54856,4.41392,0.03072,0.35812,0.42282,0.30759,0.15471,3.29786,3.9037,0.04192,0.00128753,0.00128753,0.00128753
12,4691.9,3.50176,4.33964,0.03,0.33458,0.41784,0.30415,0.15609,3.26738,3.92052,0.04154,0.00127338,0.00127338,0.00127338
13,4763.86,3.41324,4.18654,0.0294,0.37426,0.41635,0.33047,0.17113,3.21157,3.7913,0.04049,0.00125923,0.00125923,0.00125923
14,4837.49,3.39821,4.13463,0.02929,0.3492,0.45671,0.33601,0.17792,3.14906,3.69268,0.03958,0.00124509,0.00124509,0.00124509
15,4909.43,3.34448,4.04755,0.02847,0.37405,0.46877,0.35774,0.18963,3.11573,3.54018,0.03926,0.00123094,0.00123094,0.00123094
16,4981.51,3.31518,4.00326,0.02854,0.38026,0.4753,0.36674,0.19185,3.10814,3.56919,0.03908,0.00121679,0.00121679,0.00121679
17,5052.58,3.2756,3.95522,0.02792,0.38733,0.46758,0.37496,0.20312,3.04972,3.46958,0.03844,0.00120265,0.00120265,0.00120265
18,5122.81,3.23836,3.88939,0.02731,0.39409,0.47703,0.38312,0.21628,3.00452,3.38763,0.03747,0.0011885,0.0011885,0.0011885
19,5196.06,3.23489,3.85978,0.02725,0.40304,0.49356,0.39369,0.22243,2.96788,3.35451,0.03679,0.00117435,0.00117435,0.00117435
20,5266.83,3.15718,3.75993,0.02675,0.41434,0.51291,0.40626,0.2319,2.9509,3.25886,0.03686,0.00116021,0.00116021,0.00116021
21,5337.51,3.15557,3.72085,0.02622,0.41849,0.47984,0.40446,0.2307,2.9267,3.30172,0.03634,0.00114606,0.00114606,0.00114606
22,5404.35,3.13692,3.72815,0.02671,0.41885,0.45753,0.39998,0.22781,2.94329,3.43212,0.03624,0.00113191,0.00113191,0.00113191
23,5470.73,3.09311,3.64033,0.02582,0.4126,0.53153,0.4164,0.2391,2.86564,3.23954,0.03564,0.00111776,0.00111776,0.00111776
24,5542.4,3.07222,3.61743,0.02543,0.41455,0.50601,0.42393,0.24839,2.83853,3.14841,0.03522,0.00110362,0.00110362,0.00110362
25,5614.3,3.0523,3.54424,0.02558,0.44115,0.51357,0.44549,0.26298,2.85433,3.06778,0.0354,0.00108947,0.00108947,0.00108947
26,5684.37,3.02134,3.51267,0.0252,0.42917,0.5352,0.44204,0.25549,2.84431,3.04729,0.03516,0.00107532,0.00107532,0.00107532
27,5749.27,2.99887,3.47769,0.02509,0.4414,0.51587,0.44348,0.26097,2.82769,3.11108,0.0352,0.00106118,0.00106118,0.00106118
28,5814.64,2.98692,3.46783,0.02452,0.44456,0.51044,0.45742,0.26436,2.80954,3.06393,0.03462,0.00104703,0.00104703,0.00104703
29,5885.65,2.9723,3.43098,0.02477,0.44064,0.52511,0.45174,0.2665,2.79744,3.03661,0.03473,0.00103288,0.00103288,0.00103288
30,5956.94,2.93935,3.36256,0.02429,0.45517,0.53292,0.48471,0.29411,2.72665,2.91126,0.03336,0.00101873,0.00101873,0.00101873
31,6029.09,2.92044,3.35108,0.02428,0.45492,0.5433,0.47328,0.28434,2.7444,2.94548,0.0336,0.00100459,0.00100459,0.00100459
32,6095.45,2.92673,3.31684,0.02397,0.46348,0.54877,0.48681,0.29684,2.73761,2.9237,0.03359,0.00099044,0.00099044,0.00099044
