epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.879,6.2879,8.26856,0.06382,0.00885,0.56392,0.02258,0.00568,5.42442,6.47795,0.07902,0.000474107,0.000474107,0.000474107
2,351.146,5.04443,6.56156,0.04823,0.13788,0.07737,0.05414,0.01576,4.72662,5.95196,0.06972,0.000941031,0.000941031,0.000941031
3,531.573,4.52063,5.79424,0.04215,0.18446,0.23209,0.11508,0.03983,4.31383,5.41499,0.05798,0.00139852,0.00139852,0.00139852
4,709.752,4.21493,5.36516,0.03808,0.23021,0.30507,0.17263,0.07085,3.9172,4.94273,0.05224,0.00138656,0.00138656,0.00138656
5,890.335,3.97658,5.0161,0.03519,0.27367,0.33092,0.20598,0.08936,3.72427,4.63007,0.04935,0.00137241,0.00137241,0.00137241
6,1081.65,3.79593,4.77142,0.03389,0.29382,0.37853,0.25077,0.11928,3.47975,4.23065,0.04497,0.00135826,0.00135826,0.00135826
7,1344.94,3.68586,4.58679,0.03269,0.33929,0.39394,0.28978,0.14184,3.37455,4.03171,0.04344,0.00134412,0.00134412,0.00134412
8,1613.43,3.55509,4.42105,0.03111,0.33642,0.43307,0.30358,0.14866,3.40236,3.89996,0.04301,0.00132997,0.00132997,0.00132997
9,1881.41,3.49663,4.24225,0.02977,0.354,0.44578,0.32767,0.16874,3.20772,3.69148,0.04046,0.00131582,0.00131582,0.00131582
10,2145.2,3.39789,4.1398,0.02979,0.36285,0.45074,0.34785,0.18634,3.17193,3.68378,0.03994,0.00130168,0.00130168,0.00130168
11,2406.09,3.33566,4.06207,0.02842,0.38286,0.46367,0.35456,0.19009,3.11422,3.5434,0.03967,0.00128753,0.00128753,0.00128753
12,2681.45,3.27861,3.9547,0.02759,0.37422,0.48806,0.36679,0.20095,3.11976,3.54607,0.03902,0.00127338,0.00127338,0.00127338
13,2937.79,3.18858,3.8099,0.02691,0.39217,0.50115,0.39024,0.22158,2.97028,3.34345,0.03736,0.00125923,0.00125923,0.00125923
14,3207.63,3.17488,3.77043,0.02681,0.40358,0.5091,0.39407,0.22264,2.92161,3.3091,0.03642,0.00124509,0.00124509,0.00124509
15,3665.14,3.1285,3.70215,0.02616,0.41082,0.5302,0.42176,0.24109,2.92713,3.16335,0.03667,0.00123094,0.00123094,0.00123094
16,3834.81,3.10018,3.62995,0.02625,0.41995,0.52872,0.43624,0.25279,2.89112,3.13213,0.03631,0.00121679,0.00121679,0.00121679
17,4004.24,3.04501,3.57689,0.02555,0.43123,0.52449,0.43884,0.24789,2.90929,3.13151,0.03623,0.00120265,0.00120265,0.00120265
