epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.103,6.25032,8.36474,0.06332,0.00832,0.52812,0.02005,0.00467,5.58796,6.62027,0.08427,0.000474107,0.000474107,0.000474107
2,372.092,5.07977,6.68638,0.04891,0.17237,0.14128,0.0645,0.0172,4.88079,6.10476,0.07198,0.000941031,0.000941031,0.000941031
3,552.424,4.56301,5.89614,0.04293,0.185,0.22949,0.1212,0.04107,4.22629,5.35586,0.05853,0.00139852,0.00139852,0.00139852
4,743.52,4.22608,5.42808,0.03834,0.22741,0.30411,0.16786,0.06477,4.0395,4.94174,0.05408,0.00138656,0.00138656,0.00138656
5,928.469,3.9905,5.05235,0.03554,0.23767,0.33935,0.19329,0.0821,3.78526,4.57114,0.05091,0.00137241,0.00137241,0.00137241
6,1107.66,3.81773,4.79543,0.03428,0.30366,0.36845,0.24785,0.1127,3.58239,4.2795,0.04669,0.00135826,0.00135826,0.00135826
7,1287.03,3.70606,4.64085,0.03304,0.31657,0.40536,0.27249,0.1299,3.40653,4.07719,0.0438,0.00134412,0.00134412,0.00134412
8,1465.63,3.57399,4.44336,0.03144,0.34067,0.44107,0.30558,0.14836,3.36653,3.99085,0.04354,0.00132997,0.00132997,0.00132997
9,1643.28,3.5085,4.26279,0.03004,0.36153,0.46125,0.33575,0.17167,3.20766,3.73106,0.04055,0.00131582,0.00131582,0.00131582
10,1826.8,3.42207,4.17416,0.03015,0.37395,0.44244,0.34334,0.17936,3.20242,3.71855,0.04083,0.00130168,0.00130168,0.00130168
11,2011,3.35832,4.06707,0.02875,0.36959,0.47848,0.35381,0.18616,3.16821,3.61521,0.04018,0.00128753,0.00128753,0.00128753
12,2188.27,3.3011,3.972,0.02792,0.38206,0.48788,0.37148,0.20267,3.06961,3.45985,0.0386,0.00127338,0.00127338,0.00127338
13,2366.93,3.21854,3.81798,0.02734,0.39862,0.48922,0.39473,0.21855,3.01192,3.36111,0.03822,0.00125923,0.00125923,0.00125923
14,2548.01,3.216,3.75534,0.02742,0.39388,0.5159,0.39723,0.22607,2.92977,3.3266,0.03642,0.00124509,0.00124509,0.00124509
