epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3308,2.78952,4.0191,3.58396,0.0753,0.12816,0.03707,0.00931,2.51264,3.34435,3.16672,0.000474107,0.000474107,0.000474107
2,83.5908,2.34072,3.23923,2.8043,0.17842,0.27377,0.1124,0.04112,2.1218,3.12712,2.59818,0.000941031,0.000941031,0.000941031
3,124.785,2.06674,2.98485,2.50688,0.2189,0.30646,0.16923,0.06688,1.98381,2.74444,2.45114,0.00139852,0.00139852,0.00139852
4,164.995,1.92847,2.76996,2.33052,0.25821,0.32798,0.20629,0.09035,1.79495,2.50171,2.26056,0.00138656,0.00138656,0.00138656
5,205.164,1.83205,2.60263,2.22095,0.30914,0.43949,0.25414,0.11493,1.74831,2.44034,2.18066,0.00137241,0.00137241,0.00137241
6,244.819,1.75984,2.49833,2.1431,0.33813,0.41114,0.29306,0.13793,1.67538,2.20241,2.0764,0.00135826,0.00135826,0.00135826
7,283.953,1.7197,2.41543,2.09384,0.34459,0.4693,0.31273,0.15138,1.64792,2.19979,2.06879,0.00134412,0.00134412,0.00134412
8,322.385,1.68175,2.3463,2.05229,0.32491,0.50126,0.30016,0.14883,1.644,2.18451,2.03764,0.00132997,0.00132997,0.00132997
9,359.875,1.64842,2.25947,2.00574,0.3572,0.46642,0.34294,0.17595,1.56634,2.03692,1.98211,0.00131582,0.00131582,0.00131582
10,408.34,1.6243,2.2316,1.98919,0.36572,0.47313,0.36404,0.18887,1.55716,1.97728,1.94435,0.00130168,0.00130168,0.00130168
11,514.999,1.59176,2.17939,1.95659,0.39531,0.47019,0.37312,0.2008,1.51636,1.94755,1.91266,0.00128753,0.00128753,0.00128753
12,620.95,1.57667,2.15637,1.93347,0.39483,0.51692,0.38921,0.21421,1.45814,1.89882,1.86727,0.00127338,0.00127338,0.00127338
13,720.51,1.54064,2.07903,1.90239,0.39734,0.49728,0.39896,0.22519,1.42949,1.85895,1.84538,0.00125923,0.00125923,0.00125923
14,818.891,1.53757,2.07421,1.89393,0.40583,0.52415,0.40862,0.23136,1.42638,1.89076,1.83834,0.00124509,0.00124509,0.00124509
