epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4433,2.97087,3.35977,3.45064,0.15898,0.15347,0.07728,0.02361,2.39722,2.94122,2.87867,0.000474107,0.000474107,0.000474107
2,95.2623,2.20822,2.71993,2.49715,0.20826,0.29444,0.155,0.06165,1.98614,2.83964,2.37642,0.000941031,0.000941031,0.000941031
3,145.035,1.94458,2.46752,2.20371,0.31944,0.30091,0.18291,0.0698,2.05111,2.75023,2.40215,0.00139852,0.00139852,0.00139852
4,192.277,1.82102,2.3023,2.07174,0.32239,0.41447,0.29105,0.14098,1.68666,2.15157,2.06235,0.00138656,0.00138656,0.00138656
5,239.324,1.72338,2.17494,1.9696,0.30151,0.44098,0.24544,0.11641,1.72314,2.51986,2.10375,0.00137241,0.00137241,0.00137241
6,282.261,1.6561,2.10076,1.92429,0.35382,0.4579,0.33155,0.17177,1.63836,2.0116,1.99086,0.00135826,0.00135826,0.00135826
7,330.345,1.61402,2.04575,1.87734,0.37163,0.50294,0.36926,0.19354,1.55685,1.98571,1.9283,0.00134412,0.00134412,0.00134412
8,378.018,1.57013,1.98599,1.83567,0.4017,0.50069,0.38965,0.21428,1.5301,1.85049,1.90347,0.00132997,0.00132997,0.00132997
9,426.985,1.53076,1.90073,1.78691,0.4206,0.53979,0.43395,0.24979,1.41079,1.72132,1.78946,0.00131582,0.00131582,0.00131582
10,478.153,1.51051,1.87176,1.78714,0.4315,0.53252,0.41952,0.23863,1.4318,1.71269,1.76939,0.00130168,0.00130168,0.00130168
11,524.719,1.47722,1.83798,1.74211,0.41886,0.52081,0.42071,0.23882,1.45046,1.72775,1.79221,0.00128753,0.00128753,0.00128753
12,570.245,1.46032,1.80889,1.72604,0.42116,0.55334,0.43522,0.2546,1.39683,1.66694,1.76799,0.00127338,0.00127338,0.00127338
13,619.654,1.42195,1.74791,1.70294,0.43838,0.55094,0.45474,0.26842,1.3624,1.62416,1.74588,0.00125923,0.00125923,0.00125923
14,666.547,1.42365,1.72932,1.69465,0.45984,0.55859,0.47187,0.28028,1.35217,1.63824,1.72683,0.00124509,0.00124509,0.00124509
15,715.977,1.39271,1.70465,1.66723,0.43006,0.56824,0.44395,0.26669,1.3439,1.59574,1.71534,0.00123094,0.00123094,0.00123094
16,758.942,1.3819,1.68982,1.66193,0.39876,0.56732,0.45514,0.27722,1.31179,1.6323,1.66734,0.00121679,0.00121679,0.00121679
17,802.892,1.36449,1.66841,1.64818,0.45027,0.58483,0.49893,0.30302,1.31026,1.49976,1.69291,0.00120265,0.00120265,0.00120265
18,850.963,1.35169,1.6459,1.63994,0.40684,0.53574,0.45693,0.27723,1.33045,1.66655,1.69311,0.0011885,0.0011885,0.0011885
19,894.179,1.34971,1.62818,1.62817,0.4534,0.54712,0.48725,0.30515,1.25895,1.5761,1.63111,0.00117435,0.00117435,0.00117435
20,944.229,1.31433,1.59349,1.606,0.48766,0.58953,0.51382,0.31666,1.29131,1.45178,1.64274,0.00116021,0.00116021,0.00116021
21,995.232,1.31538,1.57275,1.59484,0.48054,0.5861,0.50226,0.31611,1.25606,1.46802,1.63262,0.00114606,0.00114606,0.00114606
22,1038.74,1.30729,1.58096,1.59595,0.46982,0.57923,0.50499,0.31507,1.28069,1.49637,1.66309,0.00113191,0.00113191,0.00113191
23,1081.33,1.28184,1.5396,1.56918,0.48346,0.59133,0.50613,0.31379,1.30166,1.46942,1.66137,0.00111776,0.00111776,0.00111776
24,1124,1.28647,1.53192,1.57048,0.47683,0.56932,0.51272,0.3198,1.25184,1.43432,1.63086,0.00110362,0.00110362,0.00110362
25,1174.78,1.2713,1.50839,1.56432,0.5294,0.58874,0.55026,0.34779,1.2415,1.40469,1.60928,0.00108947,0.00108947,0.00108947
26,1222.84,1.26457,1.48929,1.55728,0.51165,0.5982,0.54539,0.34702,1.22758,1.38467,1.60624,0.00107532,0.00107532,0.00107532
27,1267.1,1.24704,1.46922,1.54121,0.49296,0.59667,0.53503,0.33563,1.24215,1.42553,1.60938,0.00106118,0.00106118,0.00106118
28,1311.65,1.24413,1.46419,1.53623,0.48286,0.60444,0.54953,0.34841,1.21206,1.39648,1.59438,0.00104703,0.00104703,0.00104703
29,1360.29,1.23466,1.45359,1.53002,0.50149,0.60435,0.54622,0.35317,1.2162,1.41692,1.57979,0.00103288,0.00103288,0.00103288
30,1407.48,1.22142,1.42363,1.51694,0.55107,0.59465,0.57766,0.37125,1.18919,1.34708,1.55717,0.00101873,0.00101873,0.00101873
31,1455.09,1.21725,1.42806,1.51513,0.53636,0.58931,0.56817,0.37165,1.1849,1.35363,1.56617,0.00100459,0.00100459,0.00100459
32,1505.73,1.21016,1.4211,1.50436,0.53915,0.60074,0.59201,0.38048,1.21238,1.31249,1.57003,0.00099044,0.00099044,0.00099044
33,1556.96,1.20214,1.39978,1.50428,0.52595,0.57822,0.55932,0.36254,1.21322,1.39441,1.58219,0.000976293,0.000976293,0.000976293
34,1600.49,1.19336,1.39135,1.48856,0.54203,0.58641,0.58084,0.37375,1.21086,1.36223,1.58079,0.000962146,0.000962146,0.000962146
35,1643.81,1.18979,1.37591,1.48334,0.59411,0.58509,0.59955,0.39289,1.16818,1.29152,1.54564,0.000947999,0.000947999,0.000947999
36,1691.32,1.18825,1.38709,1.48614,0.56229,0.59815,0.59632,0.39242,1.15443,1.30283,1.53541,0.000933851,0.000933851,0.000933851
37,1735.44,1.17472,1.35189,1.47422,0.56207,0.60439,0.59496,0.38498,1.18622,1.29108,1.55298,0.000919704,0.000919704,0.000919704
38,1779.41,1.1691,1.34126,1.46854,0.57105,0.5981,0.60409,0.39709,1.15681,1.29525,1.5338,0.000905557,0.000905557,0.000905557
39,1827.04,1.16105,1.34035,1.46485,0.55246,0.62621,0.60389,0.39657,1.16118,1.26669,1.5326,0.00089141,0.00089141,0.00089141
40,1871.65,1.15622,1.33222,1.46036,0.56077,0.60533,0.6043,0.3992,1.13897,1.26173,1.51603,0.000877263,0.000877263,0.000877263
41,1921.3,1.1478,1.31215,1.44822,0.5979,0.59071,0.61655,0.40808,1.14315,1.25812,1.51368,0.000863116,0.000863116,0.000863116
42,1969.22,1.15135,1.32225,1.45318,0.58911,0.61193,0.62467,0.41365,1.14227,1.24185,1.52572,0.000848969,0.000848969,0.000848969
43,2015.84,1.13403,1.30812,1.44671,0.58025,0.61527,0.62452,0.41281,1.14852,1.24168,1.52087,0.000834822,0.000834822,0.000834822
44,2059.6,1.13422,1.29042,1.44051,0.57683,0.58308,0.59943,0.38738,1.20687,1.34878,1.57173,0.000820675,0.000820675,0.000820675
45,2103.64,1.13026,1.28724,1.43862,0.59406,0.61368,0.64582,0.43228,1.11878,1.20279,1.50039,0.000806528,0.000806528,0.000806528
46,2150.36,1.13056,1.27547,1.43512,0.5861,0.62335,0.63031,0.42064,1.12245,1.21774,1.49618,0.00079238,0.00079238,0.00079238
47,2193.9,1.11376,1.25868,1.42503,0.6043,0.61869,0.63952,0.4322,1.11214,1.18435,1.49069,0.000778233,0.000778233,0.000778233
48,2238.03,1.10669,1.24795,1.41526,0.60944,0.60206,0.62835,0.42005,1.1207,1.20857,1.48794,0.000764086,0.000764086,0.000764086
49,2282.7,1.09589,1.25182,1.40844,0.5947,0.62682,0.63784,0.4315,1.11096,1.19402,1.48312,0.000749939,0.000749939,0.000749939
50,2327.77,1.10541,1.24115,1.41686,0.61071,0.61585,0.63799,0.43051,1.12025,1.19798,1.49354,0.000735792,0.000735792,0.000735792
51,2371.25,1.08831,1.21928,1.39964,0.61368,0.60379,0.63681,0.4304,1.10799,1.20587,1.4759,0.000721645,0.000721645,0.000721645
52,2414.48,1.08857,1.21008,1.3945,0.62423,0.6065,0.65969,0.44815,1.10243,1.14909,1.47894,0.000707498,0.000707498,0.000707498
53,2462.98,1.08697,1.20376,1.39302,0.6009,0.62337,0.64721,0.43427,1.11774,1.17864,1.50427,0.000693351,0.000693351,0.000693351
54,2506.71,1.08501,1.21099,1.39336,0.60517,0.6086,0.64053,0.43031,1.13081,1.1913,1.49765,0.000679204,0.000679204,0.000679204
55,2550.96,1.07375,1.20293,1.38748,0.60566,0.62088,0.64612,0.43985,1.10698,1.16589,1.47822,0.000665057,0.000665057,0.000665057
56,2595.81,1.07399,1.19129,1.38166,0.58843,0.64257,0.64419,0.43754,1.10252,1.15688,1.47423,0.000650909,0.000650909,0.000650909
