paper_row,paper_label,yaml_path,yaml_sha256,git_commit,architecture_summary,params_paper_M,params_profiled_M,trainable_params_profiled_M,gflops_paper,gflops_profiled,strict_single_factor,traceability,notes
YAML inventory,YOLO26s,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26s.yaml,c5c81794760d777804e2991488a49d8aec19d5a400c4c0a0478f40d8f4c97715,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2(r=2,args=[256, False, 0.25]); L4:C3k2(r=2,args=[512, False, 0.25]); L6:C3k2(r=2,args=[512, True]); L8:C3k2(r=2,args=[1024, True]); L10:C2PSA(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",,9.950186,9.950186,,22.507315,N/A,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A0,YOLO26n,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26.yaml,c5c81794760d777804e2991488a49d8aec19d5a400c4c0a0478f40d8f4c97715,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2(r=2,args=[256, False, 0.25]); L4:C3k2(r=2,args=[512, False, 0.25]); L6:C3k2(r=2,args=[512, True]); L8:C3k2(r=2,args=[1024, True]); L10:C2PSA(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",2.51,2.50497,2.50497,5.78,5.776077,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A1,YOLO26n + BAC,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-scbconv.yaml,0499198e512611fd5556af604e1677bbdf6c2afb81c5de66c9c94a515215ce74,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SCBConv(r=2,args=[256, False, 0.25, True, False]); L4:C3k2SCBConv(r=2,args=[512, False, 0.25, True, False]); L6:C3k2SCBConv(r=2,args=[512, True, 0.5, False, True]); L8:C3k2SCBConv(r=2,args=[1024, True, 0.5, False, True]); L10:C2PSA(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",3.14,3.13945,3.13945,6.96,6.963917,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A2,YOLO26n + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-ca.yaml,23f341fe7c75961395e8411bf26f388f22bfa88b02a4e6f0c500ff50b478c07f,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2(r=2,args=[256, False, 0.25]); L4:C3k2(r=2,args=[512, False, 0.25]); L6:C3k2(r=2,args=[512, True]); L8:C3k2(r=2,args=[1024, True]); L10:C2PSA(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",2.53,2.526209,2.526209,6.04,6.046182,NO,PARTIAL,"local legacy experiment directory; absent from public Git history; CAPlus is a composite P3 replacement, not a bare CA insertion"
Table 4 A3,YOLO26n + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-scbconv-ca.yaml,6ecc3a21f4f83b407abae54884831e0efea4e75c3259abf9785c9df3e1808634,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SCBConv(r=2,args=[256, False, 0.25, True, False]); L4:C3k2SCBConv(r=2,args=[512, False, 0.25, True, False]); L6:C3k2SCBConv(r=2,args=[512, True, 0.5, False, True]); L8:C3k2SCBConv(r=2,args=[1024, True, 0.5, False, True]); L10:C2PSA(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",3.16,3.160689,3.160689,7.23,7.234022,NO,PARTIAL,local legacy experiment directory; absent from public Git history; combines SCBConv backbone replacement with composite P3 CAPlus replacement
Table 4 A4,YOLO26n + standard SS2D,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-ss2d.yaml,a6bfda961c9cab2990d5bf0a2a075a2ad8bbe43ad20a8bcdbcd9a17ae01d0f4c,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SS2D(r=2,args=[256, False, 0.25]); L4:C3k2SS2D(r=2,args=[512, False, 0.25]); L6:C3k2SS2D(r=2,args=[512, True]); L8:C3k2SS2D(r=2,args=[1024, True]); L10:C2PSASS2D(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2(r=2,args=[256, True]); L19:C3k2SS2D(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",4.79,4.785818,4.785818,14.24,14.237529,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A5,YOLO26n + DA-LC-SS2D,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-da-lc-ss2d.yaml,26c346ece648ad08d78cda9af2f73751d1c012b8036f47d16247a86a871f8603,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2DALCSS2D(r=2,args=[256, False, 0.25]); L4:C3k2DALCSS2D(r=2,args=[512, False, 0.25]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",4.84,4.8368,4.8368,14.35,14.373644,YES,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A6,YOLO26n + DA-LC-SS2D + BAC,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-da-lc-ss2d-scbconv.yaml,ec6bc2ef118b48d923f81d95f5731c9335a4ae3b8712415f1bc74893fe4e6314,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBConv(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.42,5.352,5.352,15.76,15.438706,NO,PARTIAL,local legacy experiment directory; absent from public Git history; BAC placement differs from A1 (neck/context fusion rather than BAC backbone)
Table 4 A7,YOLO26n + DA-LC-SS2D + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-da-lc-ss2d-ca.yaml,f7b0290d8f7dcfa57a9a719db4edaa9a74ea5a112dd99690d17bfacb442cfda1,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2(r=1,args=[1024, True, 0.5, True])",4.93,4.858039,4.858039,14.96,14.64375,NO,PARTIAL,local legacy experiment directory; absent from public Git history
Table 4 A8,BAC-SSM-YOLO,/mnt/d/work/yolo/BAC-SSM-YOLO/configs/models/yolo26-da-lc-ss2d-scbconv-ca.yaml,f68b3c390d43992e24457009d4ec04f3d892080640c132ed0ee9808262fe4d4d,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,"L2:C3k2DALCSS2D(r=2,args=[256, True]); L4:C3k2DALCSS2D(r=2,args=[512, True]); L6:C3k2DALCSS2D(r=2,args=[512, True]); L8:C3k2DALCSS2D(r=2,args=[1024, True]); L10:C2PSADALCSS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2DALCSS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.34,5.342903,5.342903,15.28,15.313958,NO,CONFIRMED,"public repository; relative to A6, P3 C3k2SCBConv is replaced by C3k2SCBNeckCAPlus"
Table 5 row 1,standard SS2D + BAC + CA,/mnt/d/work/yolo/yolo26/ultralytics/cfg/models/26/yolo26-ss2d-scbconv-ca.yaml,b53c75acd3c9c999f3ce3511ea0eb6830e9b6cda7692ffd0615666a3f84e27c3,28257ee89ba40e992280398a1f20d491b5075ca7,"L2:C3k2SS2D(r=2,args=[256, True]); L4:C3k2SS2D(r=2,args=[512, True]); L6:C3k2SS2D(r=2,args=[512, True]); L8:C3k2SS2D(r=2,args=[1024, True]); L10:C2PSASS2D(r=2,args=[1024]); L13:C3k2SCBConv(r=2,args=[512, True]); L16:C3k2SCBNeckCAPlus(r=2,args=[256, True]); L19:C3k2SS2D(r=2,args=[512, True]); L22:C3k2SCBConv(r=1,args=[1024, True, 0.5])",5.3,5.291921,5.291921,15.3,15.177842,YES,PARTIAL,local legacy experiment directory; absent from public Git history
